IF extra_degree!=False THEN Class=hire ,[643.0; 3307.0],[250; 393; 2914],{0.0: 2407; 1.0: 1150},(0.20535131999999998)
IF extra_degrees<=0.75 AND experience<=34.0 AND german_speaking<=0.2222222222222222 THEN Class=reject ,[5131.0; 104.0],[5027; 104; 0],{0.0: 3011; 1.0: 2120},(0.008404940912741231)
IF degree==False THEN Class=reject ,[776.0; 0.0],[776; 0; 0],{0.0: 449; 1.0: 327},(0.03065511600237956)
IF experience>=19.0 AND potential>=0.05011220700329141 AND dutch_speaking>=0.15384615384615385 AND french_speaking<=0.4285714285663265 THEN Class=hire ,[76.0; 107.0],[35; 41; 66],{0.0: 103; 1.0: 39},(0.14377506126085987)
IF experience<=13.0 THEN Class=reject ,[338.0; 2.0],[336; 2; 0],{0.0: 200; 1.0: 138},(0.004354660001546046)
IF german_speaking>=0.25 THEN Class=hire ,[2.0; 2.0],[0; 2; 0],{0.0: 2},(0.03316326530612245)
IF potential<=0.8831476360139824 THEN Class=reject ,[45.0; 0.0],[45; 0; 0],{0.0: 31; 1.0: 14},(0.030864197530864244)
IF gender==0 AND nationality==0 THEN Class=hire ,[0.0; 2.0],[0; 0; 2],{0.0: 2},(0.1728395061728395)
IF age>=38.0 THEN Class=reject ,[7.0; 0.0],[7; 0; 0],{0.0: 5; 1.0: 2},(1e-06)
IF TRUE THEN Class=reject ,[7018.0; 3524.0],[6476; 542; 2982],{0.0: 6210; 1.0: 3790},(1e-06)
