IF extra_degree!=False THEN Class=hire ,[623.0; 3265.0],[255; 368; 2897],{0.0: 2371; 1.0: 1149},(0.2040392)
IF potential<=0.7511872477711065 AND experience<=33.0 THEN Class=reject ,[5149.0; 108.0],[5041; 108; 0],{0.0: 3008; 1.0: 2141},(0.006499033112330404)
IF degree==False THEN Class=reject ,[819.0; 0.0],[819; 0; 0],{0.0: 492; 1.0: 327},(0.02450211988184431)
IF experience>=22.0 AND german_speaking>=2.0833333333159723e-12 THEN Class=hire ,[77.0; 93.0],[26; 51; 42],{0.0: 93; 1.0: 26},(0.13352203369140625)
IF experience<=14.0 THEN Class=reject ,[322.0; 0.0],[322; 0; 0],{0.0: 192; 1.0: 130},(0.022933136504606676)
IF german_speaking<=0.08108108108108109 AND age>=42.0 AND experiences<=0.2946808510638298 THEN Class=reject ,[40.0; 2.0],[38; 2; 0],{0.0: 31; 1.0: 9},(0.08728426899424718)
IF age<=49.0 AND potential<=0.9001507452892211 AND age>=39.0 THEN Class=reject ,[17.0; 0.0],[17; 0; 0],{0.0: 9; 1.0: 8},(0.19458896982310092)
IF married!=False AND experience<=17.0 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{0.0: 3},(0.1683673469387755)
IF age>=38.0 THEN Class=hire ,[0.0; 11.0],[0; 0; 11],{0.0: 10; 1.0: 1},(1e-06)
IF TRUE THEN Class=reject ,[7050.0; 3479.0],[6521; 529; 2950],{0.0: 6209; 1.0: 3791},(1e-06)
