IF extra_degree==False THEN Class=reject ,[6173.0; 0.0],[6173; 0; 0],{0.0: 3813; 1.0: 2360},(0.23253691)
IF experience>=2.0 AND english_speaking>=0.1111111111111111 AND potential<=0.950485921705854 AND experiences<=0.2680851063829787 THEN Class=hire ,[0.0; 3114.0],[0; 0; 3114],{0.0: 1938; 1.0: 1176},(0.012757128619154129)
IF language_english!=False AND potential<=0.8662276098195486 AND age<=53.0 THEN Class=hire ,[5.0; 439.0],[5; 0; 439],{0.0: 264; 1.0: 180},(0.04539025786387447)
IF experiences>=0.010638297872340425 AND potential<=0.8994855307391572 AND dutch_speaking<=0.49999999999166667 AND experiences<=0.3276595744680851 THEN Class=hire ,[3.0; 125.0],[3; 0; 125],{0.0: 77; 1.0: 51},(0.08613756028800043)
IF experience>=3.0 AND language_french!=False THEN Class=hire ,[8.0; 65.0],[8; 0; 65],{0.0: 45; 1.0: 28},(0.13419848096172224)
IF language_english!=False AND potential>=0.899649608467981 AND language_german==False AND age>=23.0 THEN Class=hire ,[5.0; 16.0],[5; 0; 16],{0.0: 12; 1.0: 9},(0.12629757785467127)
IF language_dutch!=False AND experiences<=0.30319148936170215 AND age<=61.0 THEN Class=reject ,[27.0; 2.0],[27; 0; 2],{0.0: 20; 1.0: 9},(0.06247170665459484)
IF dutch_speaking<=0.20930232558139536 AND experience<=2.0 AND age>=23.0 THEN Class=reject ,[9.0; 0.0],[9; 0; 0],{0.0: 5; 1.0: 4},(0.16666666666666669)
IF language_english==False AND potential<=0.9171874138304803 AND french_speaking<=0.358974358974359 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{0.0: 2; 1.0: 1},(0.22222222222222224)
IF age>=20.0 THEN Class=hire ,[0.0; 6.0],[0; 0; 6],{0.0: 3; 1.0: 3},(1e-06)
IF TRUE THEN Class=reject ,[6233.0; 3767.0],[6233; 0; 3767],{0.0: 6179; 1.0: 3821},(1e-06)
